Expiry,Date,Open,High,Low,Close,Intraday,Tonight,Index,,,,,,dte
14-03-2024,Thu:14/03,144.6,156.8,2.7,3.4,141.2,0,Open,High,Low,Close,Intraday,Gap,0
07-03-2024,Thu:07/03,118,118,4.65,6.55,111.45,0,21956,22201.9,21928.65,22144.95,273.25,0,0
29-02-2024,Thu:29/02,153.7,169.6,13.8,16.25,137.45,0,22498.05,22519.6,22439.2,22483.6,80.4,0,0
22-02-2024,Thu:22/02,124.65,150.55,13.95,17.9,106.75,0,21922.45,22055.7,21865.55,22050.7,190.15,0,0
15-02-2024,Thu:15/02,122.05,126,8.4,10.75,111.3,0,22051.1,22243.85,21881.7,22225.55,362.15,0,0
14-03-2024,Wed:13/03,187.65,224.55,151.35,151.35,36.3,6.75,21894.65,21952,,,,,1
07-03-2024,Wed:06/03,185.35,190.6,123.1,125.55,59.8,7.55,22403.05,22411.65,21909.55,21984.2,502.1,28.2,1
29-02-2024,Wed:28/02,199.6,214.7,167.65,168.95,30.65,15.25,22304.55,22486.55,22227.55,22484.55,259,-13.5,1
22-02-2024,Wed:21/02,212.75,212.75,144.75,149.95,62.8,25.3,22213.55,22227.95,21923.7,21929.05,304.25,6.6,1
15-02-2024,Wed:14/02,209.3,209.4,140.5,140.5,68.8,18.45,22202,22247.45,22006,22023.55,241.45,-27.55,1
14-03-2024,Tue:12/03,220.7,233.15,195.25,198.55,22.15,10.9,21560.65,21865,,,,,2
07-03-2024,Tue:05/03,237.55,237.55,183.4,183.4,54.15,-1.95,22341.65,22450.7,22261.4,22335.65,189.3,-67.4,2
29-02-2024,Tue:27/02,256.2,262.7,209.4,209.4,46.8,9.8,22338.65,22412.3,22270,22345.05,142.3,40.5,2
22-02-2024,Tue:20/02,259.3,259.3,213.5,216.4,42.9,3.65,22104.3,22214.55,22090.3,22187.45,124.25,-26.1,2
15-02-2024,Tue:13/02,271.55,289.6,215.15,218,53.55,8.7,22084.95,22214.45,22057.45,22204.65,157,2.65,2
14-03-2024,Mon:11/03,260.85,260.85,230.55,230.55,30.3,9.85,21656,21764,,,,,3
07-03-2024,Mon:04/03,279.1,282.55,241.6,244.2,34.9,6.65,22486.95,22511,22311.2,22325.4,199.8,-16.25,3
29-02-2024,Mon:26/02,284.3,295.45,261.95,262.75,21.55,6.55,22399.8,22433.5,22359.6,22397.75,73.9,59.1,3
22-02-2024,Mon:19/02,290.3,292.6,261.35,264.7,25.6,5.4,22173.85,22198.2,22077.15,22118.95,121.05,14.65,3
15-02-2024,Mon:12/02,295,307,267.6,281.9,13.1,10.35,22077.05,22185.35,22024.4,22118.65,160.95,33.7,3
14-03-2024,Thu:07/03,314.1,314.1,247.95,254.45,59.65,-6.4,21791.9,21823,,,,,4
07-03-2024,Fri:01/03,324.1,340.25,304.25,304.25,19.85,25.15,22498.05,22519.6,22439.2,22483.6,80.4,-3.35,4
29-02-2024,Fri:23/02,327.3,329.65,287.6,287.6,39.7,3.3,22119.25,22352.2,22113.35,22323.05,238.85,-76.75,4
22-02-2024,Fri:16/02,313.9,328.25,297.55,303.95,9.95,13.65,22250.95,22280.15,22187.55,22195.9,92.6,22.05,4
15-02-2024,Fri:09/02,355.25,366.85,297.9,297.9,57.35,2.9,22004.4,22066.6,21971.1,22037.85,95.5,-39.2,4
14-03-2024,Wed:06/03,340.05,348,314.45,322.1,17.95,8,21705.35,21799,,,,,5
07-03-2024,Thu:29/02,398.15,398.75,320.15,322,76.15,-2.1,22304.55,22486.55,22227.55,22484.55,259,-13.5,5
29-02-2024,Thu:22/02,355.35,372.25,323.3,328.85,26.5,1.55,21922.45,22055.7,21865.55,22050.7,190.15,-68.55,5
22-02-2024,Thu:15/02,341.9,347.75,310.15,312.15,29.75,-1.75,22051.1,22243.85,21881.7,22225.55,362.15,-25.4,5
15-02-2024,Thu:08/02,361,372.2,332.05,352.65,8.35,-2.6,21894.65,21952,21802.2,21927.95,149.8,-76.45,5
14-03-2024,Tue:05/03,389.4,389.4,339.35,339.35,50.05,-0.7,21979.95,2200,,,,,6
07-03-2024,Wed:28/02,397.6,432.1,377.45,406.3,-8.7,8.15,22338.65,22412.3,22270,22345.05,142.3,40.5,6
29-02-2024,Wed:21/02,400.25,400.5,356,373.3,26.95,17.95,22213.55,22227.95,21923.7,21929.05,304.25,6.6,6
22-02-2024,Wed:14/02,385.05,397.7,351.3,355.1,29.95,13.2,22202,22247.45,22006,22023.55,241.45,-27.55,6
15-02-2024,Wed:07/02,417.8,426.2,369.95,371.35,46.45,10.35,21560.65,21865.6,21533.2,21849.9,332.4,-44.75,6
14-03-2024,Mon:04/03,435.7,435.7,392.35,393.55,42.15,4.15,22036.1,2204,,,,,7
07-03-2024,Tue:27/02,428.4,434.6,397.9,399.55,28.85,1.95,22399.8,22433.5,22359.6,22397.75,73.9,59.1,7
29-02-2024,Tue:20/02,432.2,435.35,401.35,401.95,30.25,1.7,22104.3,22214.55,22090.3,22187.45,124.25,-26.1,7
22-02-2024,Tue:13/02,437.95,453.85,387.95,392.5,45.45,7.45,22084.95,22214.45,22057.45,22204.65,157,2.65,7
15-02-2024,Tue:06/02,445.15,455.25,422.55,428.55,16.6,10.75,21656,21764.85,21550.55,21723.9,214.3,163.25,7
14-03-2024,Fri:01/03,470.15,485.7,456.45,456.95,13.2,21.25,21798.55,2194,,,,,8
07-03-2024,Mon:26/02,444.4,457.7,427.55,432,12.4,3.6,22119.25,22352.2,22113.35,22323.05,238.85,-76.75,8
29-02-2024,Mon:19/02,451.5,451.5,423.55,434.85,16.65,2.65,22173.85,22198.2,22077.15,22118.95,121.05,14.65,8
22-02-2024,Mon:12/02,445.65,467.75,428.05,442.1,3.55,4.15,22077.05,22185.35,22024.4,22118.65,160.95,33.7,8
15-02-2024,Mon:05/02,460.85,481.75,435.65,443.85,17,-1.3,21791.9,21823.95,21583.7,21620.35,240.25,-35.65,8
08-02-2024,Thu:08/02,118.95,122.1,10.75,18.4,100.55,0,21850.5,21958,,,,,0
01-02-2024,Thu:01/02,260.75,260.75,2.05,2.65,258.1,0,21979.95,22007.55,21670.15,21752.85,337.4,0,0
25-01-2024,Thu:25/01,141.55,141.55,1.75,1.75,139.8,0,21738.55,21830.3,21670.15,21680.1,160.15,0,0
18-01-2024,Thu:18/01,121.6,124.9,6.05,12.25,109.35,0,21437.65,21439.25,21250.5,21391.6,188.75,0,0
11-01-2024,Thu:11/01,80.5,82.15,2.9,4.95,75.55,0,21448.6,21534.55,21289.95,21474.7,244.6,0,0
08-02-2024,Wed:07/02,213.3,223.9,146.75,146.75,66.55,27.8,21703.25,21720.6,,,,,1
01-02-2024,Wed:31/01,297.5,306.2,238.85,256.8,40.7,-3.95,22036.1,22048.3,21862.45,21948.85,185.85,-31.1,1
25-01-2024,Wed:24/01,226.4,246.3,144.75,147.95,78.45,6.4,21473.75,21737.9,21454.65,21707.4,283.25,-31.15,1
18-01-2024,Wed:17/01,192.65,196.65,152.6,160.55,32.1,38.95,21216.2,21477.95,21145.05,21464,332.9,26.35,1
11-01-2024,Wed:10/01,160.85,170.4,101.95,101.95,58.9,21.45,21847.55,21847.55,21553.3,21570.35,294.25,121.75,1
08-02-2024,Tue:06/02,277.3,281.85,232.2,232.2,45.1,18.9,21535.2,21639,,,,,2
01-02-2024,Tue:30/01,335.55,366.75,287.75,287.75,47.8,-9.75,21798.55,21946.85,21748.5,21938.25,198.35,-97.85,2
25-01-2024,Tue:23/01,206.15,272.05,205.95,219.4,-13.25,-7,21792.55,21805.5,21503.15,21527.9,302.35,54.15,2
18-01-2024,Tue:16/01,207.3,210.3,175.15,175.7,31.6,-16.95,21736.9,21743.1,21196.75,21246.55,546.35,30.35,2
11-01-2024,Tue:09/01,171.8,183.05,160,161.55,10.25,0.7,22062.2,22120.95,21978.45,22030,142.5,182.45,2
08-02-2024,Mon:05/02,304.35,324.3,274.1,282.95,21.4,5.65,21648.7,21723,,,,,3
01-02-2024,Mon:29/01,354.25,380.4,334.75,334.75,19.5,-0.8,21850.5,21958.95,21730.15,21763.9,228.8,-34.65,3
25-01-2024,Sat:20/01,266.15,266.15,266.15,266.15,0,60,21475.4,21759.6,21468.15,21751.05,291.45,-41.5,3
18-01-2024,Mon:15/01,245.35,254.95,212.3,212.3,33.05,5,21560.35,21560.35,21560.35,21560.35,0,-176.55,3
11-01-2024,Mon:08/01,205.15,214.3,194.35,197.45,7.7,25.65,22027.5,22110.7,21971.7,22105.8,139,43.6,3
08-02-2024,Fri:02/02,314.9,345.3,300.75,300.75,14.15,-3.6,21732.65,21763,,,,,4
01-02-2024,Thu:25/01,404.2,441.2,346.6,348,56.2,-6.25,21850.15,22122.2,21810.75,21849.6,311.45,-0.9,4
25-01-2024,Fri:19/01,311.35,318.35,282.55,291.1,20.25,24.95,21437.65,21439.25,21250.5,21391.6,188.75,-83.8,4
18-01-2024,Fri:12/01,267.85,276.6,250.2,250.2,17.65,4.85,21615.55,21668.05,21579.2,21636.1,88.85,75.75,4
11-01-2024,Fri:05/01,239.1,244,210.4,210.4,28.7,5.25,21725.45,21924.5,21722.65,21912.55,201.85,-114.95,4
08-02-2024,Thu:01/02,472.65,481.6,327.05,334.9,137.75,20,21738.55,21830.3,21670.15,21680.1,160.15,-170.05,5
01-02-2024,Wed:24/01,468.85,482.8,396.7,398.4,70.45,-5.8,21216.2,21477.95,21145.05,21464,332.9,26.35,5
25-01-2024,Thu:18/01,406,412.45,325.9,333.45,72.55,22.1,21448.6,21534.55,21289.95,21474.7,244.6,-140.85,5
18-01-2024,Thu:11/01,282.1,287.55,267.7,275.85,6.25,8,21703.25,21720.6,21605.35,21654.9,115.25,-70.55,5
11-01-2024,Thu:04/01,295.7,295.7,244.4,244.55,51.15,5.45,21584.65,21676,,,,,5
08-02-2024,Thu:01/02,472.65,481.6,327.05,334.9,137.75,20,21738.55,21830.3,21670.15,21680.1,160.15,-170.05,6
01-02-2024,Wed:24/01,468.85,482.8,396.7,398.4,70.45,-5.8,21216.2,21477.95,21145.05,21464,332.9,26.35,6
25-01-2024,Thu:18/01,406,412.45,325.9,333.45,72.55,22.1,21448.6,21534.55,21289.95,21474.7,244.6,-140.85,6
18-01-2024,Thu:11/01,282.1,287.55,267.7,275.85,6.25,8,21703.25,21720.6,21605.35,21654.9,115.25,-70.55,6
11-01-2024,Thu:04/01,295.7,295.7,244.4,244.55,51.15,5.45,21584.65,21676,,,,,6
08-02-2024,Tue:30/01,526.7,560.55,510.85,520.05,6.65,-5.6,21792.55,21805.5,21503.15,21527.9,302.35,54.15,7
01-02-2024,Sat:20/01,440.3,440.3,440.3,440.3,0,58.25,21560.35,21560.35,21560.35,21560.35,0,-176.55,7
25-01-2024,Tue:16/01,381.05,387.4,359.25,359.25,21.8,-12.45,22062.2,22120.95,21978.45,22030,142.5,182.45,7
18-01-2024,Tue:09/01,312.35,334.05,312.35,319.85,-7.5,-1.8,21648.7,21723.2,21522.3,21551.85,200.9,16.65,7
11-01-2024,Tue:02/01,373.1,391.6,347.85,353.3,19.8,1.7,21720.15,21742,,,,,7
08-02-2024,Mon:29/01,493.45,538,493.45,523.3,-29.85,-3.4,21475.4,21759.6,21468.15,21751.05,291.45,-41.5,8
01-02-2024,Fri:19/01,485.7,490,457.85,467.55,18.15,27.25,21615.55,21668.05,21579.2,21636.1,88.85,75.75,8
25-01-2024,Mon:15/01,386,403.5,384.95,389.95,-3.95,8.9,22027.5,22110.7,21971.7,22105.8,139,43.6,8
18-01-2024,Mon:08/01,335.45,358.25,326,349.3,-13.85,36.95,21732.65,21763.4,21496.1,21508.85,267.3,-139.85,8
11-01-2024,Mon:01/01,413.4,415.8,372.3,381.1,32.3,8,21712.05,21830,,,,,8
